主要文章,加入與否(未定案),文章標題,Property,種類,描述,文章連結
Yes,Yes,Stanford professor on the new remote work economy: A ‘productivity disaster’ and ‘ticking time bomb for inequality’,挑戰,WFH,WFH 的缺點，是其他文章比較少提到的(多數都講優點),https://www.cnbc.com/2020/10/07/stanford-professor-not-optimistic-about-work-from-home-economy-ticking-time-bomb-for-inequality.html
Yes,Yes,Working and Learning from Home During the COVID-19 Outbreak,建議,"LFH, WFH",提供建議,https://www.healthychildren.org/English/health-issues/conditions/COVID-19/Pages/Working-and-Learning-from-Home-COVID-19.aspx
Yes,Yes,"The Distance Learning Phenomenon: What is it, and where will it take us?",實用工具,LFH,好處、實施方式、未來工具,https://www.goguardian.com/blog/technology/what-is-distance-learning/
No,Yes,6 charts that show what employers and employees really think about remote workin,"FEEDBACK, 挑戰",WFH,有圖表,https://www.weforum.org/agenda/2020/06/coronavirus-covid19-remote-working-office-employees-employers
No,Yes,"Coronavirus: How to work from home, the right way",建議,WFH,建議,https://www.bbc.com/worklife/article/20200312-coronavirus-covid-19-update-work-from-home-in-a-pandemic
No,Yes,THE ESSENTIAL REMOTE WORK TOOLS YOU NEED TO GET THINGS DONE,實用工具,WFH,實用工具,https://skillcrush.com/blog/remote-work-tools/
No,Yes,Who can really work from home?,挑戰,WFH,挑戰,https://blogs.worldbank.org/jobs/who-can-really-work-home
No,No,Advantages and disadvantages of employees working at home,"FEEDBACK, 挑戰",WFH,pros and cons 列清單 簡介,https://www.nibusinessinfo.co.uk/content/advantages-and-disadvantages-employees-working-home
No,Yes,"Working From Home
Balancing Productivity and Well-Being",建議,WFH,針對WFH的建議,https://www.mindtools.com/pages/article/working-from-home.htm
No,Yes,How The Work From Home Revolution Is Remaking Many Different Economies,,WFH,綜觀,https://observer.com/2020/07/how-the-work-from-home-revolution-is-remaking-many-different-economies/
No,Yes,WORKING FROM HOME PHENOMENON AS AN EFFORT TO PREVENT COVID-19 ATTACKS AND ITS IMPACTS ON WORK PRODUCTIVITY,FEEDBACK,WFH,[論文] 藉由訪談方式，條列出好處與壞處，並討論work productivity,https://e-journal.unair.ac.id/TIJAB/article/view/18574
No,Yes,Learning from Home: A Portrait of Teaching and Learning Inequalities in Times of the COVID-19 Pandemic,挑戰,LFH,[文章] 老師、家長、學生三方一受教育程度、關心教育程度不同而再LFH上面的效果有落差,https://www.smeru.or.id/sites/default/files/publication/cp01_covidpjj_eng.pdf
No,Yes,Learning from home in a school setting,建議,LFH,提供學校各方面的建議,https://www.education.vic.gov.au/school/teachers/teachingresources/Pages/coronavirus-home-learning.aspx
No,Yes,The Working from Home Phenomenon,,WFH,簡介,https://onpointexecutivecenter.com/the-working-from-home-phenomenon/
No,Yes,The future of remote work after COVID-19: 3 common predictions,未來,WFH,未來可能的樣子,https://www.ekoapp.com/blog/the-future-of-remote-work-after-covid-19-3-common-predictions
No,Yes,Work-At-Home After Covid-19—Our Forecast,未來,WFH,未來以及改觀,https://globalworkplaceanalytics.com/work-at-home-after-covid-19-our-forecast
No,No,Is Working From Home The Future Of Work?,,WFH,綜觀,https://www.forbes.com/sites/nextavenue/2020/04/10/is-working-from-home-the-future-of-work/#1f6fd2fe46b1
